[0712/112003:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0712/115503:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0712/115633:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0712/115807:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0712/120059:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0712/120424:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0712/120518:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0712/120635:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0712/121358:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0712/121844:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0712/121935:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0712/122032:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0712/122128:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0712/122614:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0713/114139:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0713/114726:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0713/122202:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0713/122401:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0713/123118:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0713/123203:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0713/124532:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0713/132232:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0713/132448:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0713/132613:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0713/133214:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0713/154538:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0713/154644:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0713/155056:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0713/155246:ERROR:file_io.cc(30)] read: expected 4, observed 0
